date,mobile,laptop,motor
2021-08-20 22:39:53.687881,8174700,26534060,50489818
2021-08-20 22:40:23.725496,8174700,26534060,50489818
2021-08-20 22:40:53.742833,8174700,26534060,50489818
2021-08-20 22:41:23.722976,8174700,26534060,50489818
2021-08-20 22:41:53.716709,8174700,26534060,50489818
2021-08-20 22:42:23.695814,8174700,26534060,50489818
2021-08-20 22:42:53.697814,8174700,26534060,50489818
2021-08-20 22:43:23.694727,8174700,26534060,50489818
2021-08-21 00:26:33.290455,8175196,26428383,51632771
2021-08-21 00:35:38.973089,8183399,26540678,51632771
2021-08-21 01:26:33.296535,8183383,26428383,51632771
2021-08-21 01:35:38.978434,8183383,26540678,51632771
2021-08-21 02:26:33.301389,8183383,26779815,51632771
2021-08-21 02:35:38.978348,8183383,26428383,51632771
2021-08-21 03:26:33.298610,8009236,26426081,51632771
2021-08-21 03:35:38.973204,8009236,26423923,51632771
2021-08-21 04:26:33.286875,8012139,26579311,51632771
2021-08-21 04:35:38.984079,8012139,26230038,51632771
2021-08-21 05:26:33.302626,8006448,26461189,51632771
2021-08-21 05:35:38.979780,8001716,26913300,51632771
2021-08-21 06:26:33.286744,8000862,26978048,52148771
2021-08-21 06:35:38.998975,8000862,26913300,52148771
2021-08-21 07:26:33.304714,8007228,26915458,52148771
2021-08-21 07:35:38.978013,8007228,26564026,52148771
2021-08-21 08:26:33.292143,8007155,26459717,52148771
2021-08-21 08:35:38.973774,8007155,26532372,52148771
2021-08-21 09:26:33.293620,8005179,26465544,52148771
2021-08-21 09:35:38.972367,8002058,27060134,52148771
2021-08-21 10:26:33.297177,8004407,26538199,52148771
2021-08-21 10:35:38.971973,8181074,26889631,52466771
2021-08-21 11:26:33.289770,8182345,26818199,54458771
2021-08-21 11:35:38.974908,8182662,26266106,54458771
2021-08-21 12:26:33.294146,8182954,26798552,54337771
2021-08-21 12:35:38.976547,8182881,26445969,54337771
2021-08-21 13:26:33.297954,8185944,26402221,55054771
2021-08-21 13:35:38.970386,8182675,26707624,55054771
2021-08-21 14:26:33.285564,8038097,26705465,56254771
2021-08-21 14:35:38.976248,8038097,26651638,56254771
2021-08-21 15:26:33.293261,7987890,26765746,56699771
2021-08-21 16:26:33.287155,7990303,26627724,56104771
2021-08-21 17:26:33.286779,7992835,27038947,57147771
2021-08-21 18:26:33.290587,7963064,26701897,57642771
2021-08-21 20:26:33.291883,7966653,27388527,58742771
2021-08-21 21:26:33.288193,7969797,26783889,58762771
2021-08-21 22:26:33.296319,7971091,27211035,58222771
2021-08-21 23:26:33.284805,8029631,27132047,61597771
2021-08-22 00:26:33.284860,8136417,27107894,61597771
2021-08-22 01:26:33.291421,8166887,26592938,61761791
2021-08-22 02:26:33.293495,8011707,26768452,61761791
2021-08-22 03:26:33.288344,8012835,26655996,61164791
2021-08-22 04:26:33.289306,8025147,26670496,62238740
2021-08-22 05:26:33.288562,8025185,27331728,62238740
2021-08-22 06:26:33.294239,8028040,26920807,62238740
2021-08-22 07:26:33.284258,8028373,27016170,62238740
2021-08-22 08:26:33.284536,8014711,26960938,62238740
2021-08-22 09:26:33.285949,8013986,26973528,62238740
2021-08-22 10:26:33.285716,8045479,26960938,62238740
2021-08-22 11:53:27.307627,8045472,27257530,62238740
2021-08-22 12:07:53.010706,8045850,27257530,62238740
2021-08-22 12:53:27.304526,8045866,26940180,62238740
2021-08-22 13:07:53.021918,8045866,27178395,62817720
2021-08-22 13:53:27.308602,8045794,27559880,63742720
2021-08-22 14:53:27.325486,8038518,27287537,65724251
2021-08-22 15:53:27.290856,8044329,27569109,65506751
2021-08-22 17:53:27.307419,8198417,27571066,63454611
2021-08-22 18:53:27.297817,8057973,27454645,62827803
